time,ix
2,0.945
3,0.938
4,0.931
5,0.923
6,0.973
7,1.043
8,1.146
9,1.365
10,1.374
11,1.301
12,1.245
13,1.228
14,1.153
15,1.1
16,1.112
17,1.1
18,1.19
19,1.196
20,1.199
21,1.137
22,1.192
23,1.022
24,1.142
25,1.15
26,1.164
27,1.202
28,1.181
29,1.029
30,1.086
31,1.054
32,1.067
33,1.097
34,1.223
35,1.178
36,1.257
37,1.295
38,1.133
39,1.08
40,1.058
41,1.02
42,1.147
43,0.989
44,1.064
45,1.02
46,1.106
47,1.039
48,1.073
49,1.041
50,0.976
51,1.031
52,1.007
53,1.051
54,1.016
55,1.049
56,0.998
57,0.999
58,1.081
59,1.041
60,1.204
61,1.105
62,1.087
63,1.002
64,0.963
65,0.926
66,0.976
67,0.97
68,0.939
69,1.034
70,1.025
71,1.023
72,1.065
73,1.084
74,0.959
75,1.007
76,1.017
77,1.109
78,1.246
79,1.122
80,1.261
81,1.376
82,1.371
83,1.195
84,1.057
85,1.091
86,0.924
87,0.922
88,0.918
89,0.941
90,1.023
91,0.977
92,1.005
93,1.001
94,1.093
95,1.021
96,0.88
97,0.907
98,0.839
99,0.914
100,0.907
101,0.887
102,0.918
103,0.903
104,1.097
105,1.099
106,1.179
107,0.913
108,0.961
109,0.891
110,0.907
111,0.834
112,0.874
113,0.866
114,0.849
115,0.866
116,0.883
117,0.895
118,0.919
119,0.858
120,0.785
121,0.738
122,0.734
123,0.7
124,0.724
125,0.733
126,0.757
127,0.781
128,0.983
129,1.101
130,1.125
131,0.962
132,0.903
133,0.894
134,0.821
135,0.78
136,0.873
137,0.816
138,0.917
139,0.787
140,0.875
141,0.878
142,0.848
143,0.827
144,0.752
145,0.713
146,0.731
147,0.657
148,0.667
149,0.662
150,0.753
151,0.809
152,0.935
153,1.142
154,1.037
155,0.972
156,0.945
157,0.896
158,0.866
159,0.887
160,0.892
161,0.893
162,0.984
163,0.912
164,0.955
165,0.949
166,1.064
167,0.931
168,0.816
169,0.773
170,0.788
171,0.719
172,0.788
173,0.753
174,0.831
175,0.897
176,1.009
177,1.292
178,1.133
179,1.185
180,1.207
181,1.159
182,1.081
183,1.066
184,1.1
185,1.058
186,1.093
187,1.152
188,1.071
189,1.055
190,1.135
191,1.096
192,0.932
193,1.031
194,0.992
195,0.973
196,1
197,0.993
198,0.995
199,0.995
200,1
201,0.937
202,1.077
203,1.089
204,1.171
205,1.141
206,1.06
207,1.001
208,0.969
209,0.999
210,1.021
211,1.015
212,1.007
213,0.965
214,1.123
215,0.998
216,1.049
217,0.955
218,1.006
219,1.005
220,1.041
221,1.037
222,1.059
223,1.021
224,1.016
225,0.953
226,1.219
227,1.224
228,1.327
229,1.345
230,1.36
231,1.223
232,1.198
233,1.245
234,1.28
235,1.236
236,1.07
237,1.178
238,1.079
239,1.035
240,1.116
241,1.056
242,0.934
243,0.964
244,1.005
245,1.121
246,1.175
247,1.175
248,1.27
249,1.5
250,1.227
251,1.423
252,1.263
253,1.251
254,1.223
255,1.243
256,1.241
257,1.179
258,1.244
259,1.203
260,1.244
261,1.282
262,1.231
263,1.251
264,0.986
265,1.13
266,0.998
267,1.048
268,1.036
269,1.088
270,1.078
271,1.076
272,1.321
273,1.449
274,1.474
275,1.303
276,1.396
277,1.208
278,1.247
279,1.274
280,1.321
281,1.308
282,1.256
283,1.319
284,1.315
285,1.351
286,1.264
287,1.268
288,1.062
289,1.056
290,0.988
291,1.062
292,1.067
293,1.044
294,1.101
295,1.22
296,1.3
297,1.517
298,1.505
299,1.332
300,1.325
301,1.236
302,1.206
303,1.291
304,1.223
305,1.321
306,1.223
307,1.242
308,1.246
309,1.277
310,1.203
311,1.205
312,1.131
313,1.025
314,1.029
315,0.996
316,1.055
317,1.038
318,1.058
319,1.179
320,1.246
321,1.469
322,1.361
323,1.27
324,1.191
325,1.214
326,1.169
327,1.14
328,1.126
329,1.255
330,1.141
331,1.227
332,1.136
333,1.198
334,1.188
335,1.204
336,1.098
337,1.08
338,1.019
339,1.05
340,1.014
341,1.021
342,1.079
343,1.181
344,1.229
345,1.416
346,1.304
347,1.213
348,1.221
349,1.13
350,1.159
351,1.142
352,1.17
353,1.164
354,1.144
355,1.148
356,1.162
357,1.16
358,1.116
359,1.153
360,1.022
361,1.039
362,1.033
363,1.027
364,1.017
365,1.057
366,1.086
367,1.072
368,1.12
369,1.143
370,1.173
371,1.234
372,1.315
373,1.084
374,1.202
375,1.046
376,1.031
377,1.056
378,1.074
379,1.111
380,1.098
381,1.152
382,1.168
